valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2022-06-01,2022,15.147369,12.989655,86.951294,11.518844,15.918485,Ricaurte-Moniquira
2022-07-01,2022,18.464996,15.210968,81.35091,13.894059,17.162073,La Union-Narino
2022-07-01,2022,15.645172,12.482086,81.46612,8.452964,17.73808,Ricaurte-Moniquira
2022-08-01,2022,18.699371,14.112213,74.68146,10.210771,19.408464,La Union-Narino
2022-08-01,2022,15.3714905,11.841705,79.487976,8.000607,18.165552,Ricaurte-Moniquira
2022-09-01,2022,18.604645,14.094147,75.03739,10.26493,20.499985,La Union-Narino
2022-09-01,2022,15.12735,12.2565,82.979004,9.266317,18.405968,Ricaurte-Moniquira
2022-10-01,2022,18.276886,15.500641,83.85989,13.943482,17.690586,La Union-Narino
2022-10-01,2022,15.259186,12.96402,86.18453,8.658364,16.700085,Ricaurte-Moniquira
2022-11-01,2022,18.209747,15.573883,84.61,13.512928,17.421991,La Union-Narino
2022-11-01,2022,15.330475,13.191437,87.074646,8.44317,15.632223,Ricaurte-Moniquira
2022-12-01,2022,18.108429,15.74173,86.06968,15.325632,17.20716,La Union-Narino
2022-12-01,2022,15.091705,12.331818,83.58194,3.3422694,17.964352,Ricaurte-Moniquira
2023-01-01,2023,17.832428,15.303986,85.154205,13.116102,17.265163,La Union-Narino
2023-01-01,2023,14.957428,12.282257,84.03289,5.4901896,18.185057,Ricaurte-Moniquira
2023-02-01,2023,18.682404,15.67215,82.659744,14.585837,18.961231,La Union-Narino
2023-02-01,2023,15.411041,12.3909,82.20396,5.257373,19.86936,Ricaurte-Moniquira
2023-03-01,2023,18.201813,15.832916,86.06686,21.082275,15.96169,La Union-Narino
2023-03-01,2023,15.436432,13.375397,87.52839,10.2522335,16.75707,Ricaurte-Moniquira
2023-04-01,2023,18.645905,15.950714,84.3373,17.77584,16.767044,La Union-Narino
2023-04-01,2023,15.847321,13.491852,85.90518,9.507279,16.755758,Ricaurte-Moniquira
2023-05-01,2023,19.504425,16.448639,82.51946,18.709835,16.39636,La Union-Narino
2023-05-01,2023,16.911774,13.840729,82.11897,9.890914,17.163784,Ricaurte-Moniquira
2023-06-01,2023,19.451813,15.059357,75.75067,9.979788,17.117908,La Union-Narino
2023-06-01,2023,16.7482,12.7621155,77.34155,7.1774373,17.877377,Ricaurte-Moniquira
2023-07-01,2023,19.78653,14.121735,69.83622,6.6422486,17.5469,La Union-Narino
2023-07-01,2023,16.652496,12.707184,77.533585,7.2393007,18.267668,Ricaurte-Moniquira
2023-08-01,2023,20.194733,13.203888,64.149376,6.392587,18.667248,La Union-Narino
2023-08-01,2023,16.84024,12.264069,74.41996,6.082555,19.773024,Ricaurte-Moniquira
2023-09-01,2023,20.275543,14.121368,67.75249,8.396201,19.959135,La Union-Narino
2023-09-01,2023,16.917389,11.736969,71.53024,6.087992,20.530128,Ricaurte-Moniquira
2023-10-01,2023,19.209259,15.613312,79.685326,13.806947,18.08438,La Union-Narino
2023-10-01,2023,16.343903,13.235016,81.845436,9.01138,16.908464,Ricaurte-Moniquira
2023-11-01,2023,19.21939,16.550812,84.54332,15.842184,16.612938,La Union-Narino
2023-11-01,2023,16.57315,13.7308655,83.30658,7.6517053,16.891104,Ricaurte-Moniquira
2023-12-01,2023,19.262238,16.707916,85.16381,17.593168,15.623654,La Union-Narino
2023-12-01,2023,16.799469,13.764313,82.29654,3.7054715,17.897392,Ricaurte-Moniquira
2024-01-01,2024,19.89859,16.122223,78.86869,11.777216,21.160944,La Union-Narino
2024-01-01,2024,17.343903,12.314606,72.32442,1.0602602,21.7516,Ricaurte-Moniquira
